% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
34	3	9	3	0	28	2196	0	1
75	1	1	2	0	28	2196	0	1
223	1	1	1	0	28	2196	0	1
223	2	2	1	0	28	2196	0	1
39	1	1	1	0	12	597	0	1
34	4	10	3	0	28	2196	0	1
126	1	1	1	0124	1	1	1	0	28	2196	0	1
188	2	1	1	0	28	2196	0	1
137	1	1	1	0	28	2196	0	1
190	2	1	1	0	28	2196	0	1
125	1	1	1	0	28	2196	0	1
35	1	1	1	0	28	2196	0	1
138	1	1	1	0	28	2196	0	1
81	1	1	2	0	28	2196	0	1
126	1	1	1	0	28	2196	0	1
35	2	5	1	0	28	2196	0	1
35	3	8	1	0	28	2196	0	1
139	1	1	1	0	28	2196	0	1
127	1	1	1	0	28	2196	0	1
35	4	12	1	0	28	2196	0	1
198	2	1	1	0	28	2196	0	1
140	1	1	1	0	28	2196	0	1
128	1	1	1	0	28	2196	0	1
35	5	13	1	0	28	2196	0	1
82	1	2	3	0	28	2196	0	1
35	6	16	1	0	28	2196	0	1
141	1	1	1	0	28	2196	0	1
200	2	1	1	0	28	2196	0	1
129	1	1	1	0	28	2196	0	1
41	1	1	1	0	12	597	0	1
130	1	1	1	0	28	2196	0	1
142	1	1	1	0	28	2196	0	1
41	2	4	2	0	14	775	0	1
83	1	3	1	0	28	2196	0	1
41	3	5	2	0	8	421	0	1
131	1	1	1	0	28	2196	0	1
143	1	1	1	0	28	2196	0	1
41	4	7	1	0	12	597	0	1
41	5	9	2	0	10	469	0	1
132	1	1	1	0	28	2196	0	1
208	2	1	1	0	28	2196	0	1
144	1	1	1	0	28	2196	0	1
133	1	1	1	0	28	2196	0	1
84	1	1	2	0	28	2196	0	1
145	1	1	1	0	28	2196	0	1
210	2	1	1	0	28	2196	0	1
134	1	1	1	0	28	2196	0	1
146	1	1	1	0	28	2196	0	1
135	1	1	1	0	28	2196	0	1
85	1	2	3	0	28	2196	0	1
136	1	1	1	0	28	2196	0	1
218	2	1	1	0	28	2196	0	1
147	1	1	1	0	28	2196	0	1
137	1	1	1	0	28	2196	0	1
220	2	1	1	0	28	2196	0	1
86	1	3	1	0	28	2196	0	1
148	1	1	1	0	28	2196	0	1
42	1	2	2	0	28	2196	2	0
138	1	1	1	0	28	2196	0	1
42	2	4	2	0	28	2196	2	0
149	1	1	1	0	28	2196	0	1
87	1	1	2	0	28	2196	0	1
36	1	2	2	0	28	2196	0	1
42	3	5	2	0	28	2196	2	0
150	1	1	1	0	28	2196	0	1
228	2	1	1	0	28	2196	0	1
139	1	1	1	0	28	2196	0	1
36	2	4	2	0	28	2196	0	1
36	3	7	2	0	28	2196	0	1
42	4	8	2	0	28	2196	2	0
88	1	2	3	0	28	2196	0	1
230	2	1	1	0	28	2196	0	1
42	5	9	2	0	28	2196	2	0
151	1	1	1	0	28	2196	0	1
36	4	11	2	0	28	2196	0	1
140	1	1	1	0	28	2196	0	1
36	5	14	2	0	28	2196	0	1
152	1	1	1	0	28	2196	0	1
36	6	17	2	0	28	2196	0	1
89	1	3	1	0	28	2196	0	1
141	1	1	1	0	28	2196	0	1
153	1	1	1	0	28	2196	0	1
238	2	1	1	0	28	2196	0	1
154	1	1	1	0	28	2196	0	1
142	1	1	1	0	28	2196	0	1
240	2	1	1	0	28	2196	0	1
90	1	1	2	0	28	2196	0	1
143	1	1	1	0	28	2196	0	1
155	1	1	1	0	28	2196	0	1
144	1	1	1	0	28	2196	0	1
156	1	1	1	0	28	2196	0	1
43	1	1	1	0	28	2196	2	0
91	1	2	3	0	28	2196	0	1
43	2	3	1	0	28	2196	2	0
145	1	1	1	0	28	2196	0	1
157	1	1	1	0	28	2196	0	1
248	2	1	1	0	28	2196	0	1
43	3	6	1	0	28	2196	2	0
43	4	7	1	0	28	2196	2	0
146	1	1	1	0	28	2196	0	1
158	1	1	1	0	28	2196	0	1
43	5	10	1	0	28	2196	2	0
250	2	1	1	0	28	2196	0	1
92	1	3	1	0	28	2196	0	1
147	1	1	1	0	28	2196	0	1
159	1	1	1	0	28	2196	0	1
148	1	1	1	0	28	2196	0	1
160	1	1	1	0	28	2196	0	1
93	1	1	2	0	28	2196	0	1
258	2	1	1	0	28	2196	0	1
149	1	1	1	0	28	2196	0	1
161	1	1	1	0	28	2196	0	1
37	1	3	3	0	28	2196	0	1
260	2	1	1	0	28	2196	0	1
150	1	1	1	0	28	2196	0	1
37	2	6	3	0	28	2196	0	1
94	1	2	3	0	28	2196	0	1
162	1	1	1	0	28	2196	0	1
37	3	9	3	0	28	2196	0	1
151	1	1	1	0	28	2196	0	1
37	4	10	3	0	28	2196	0	1
163	1	1	1	0	28	2196	0	1
37	5	15	3	0	28	2196	0	1
44	1	2	2	0	28	2196	2	0
323	1	1	1	0	28	2196	0	1
152	1	1	1	0	28	2196	0	1
323	2	2	1	0	28	2196	0	1
268	2	1	1	0	28	2196	0	1
44	2	4	2	0	28	2196	2	0
37	6	18	3	0	28	2196	0	1
95	1	3	1	0	28	2196	0	1
44	3	5	2	0	28	2196	2	0
153	1	1	1	0	28	2196	0	1
324	1	1	1	0	28	2196	0	1
164	1	1	1	0	28	2196	0	1
324	2	2	1	0	28	2196	0	1
270	2	1	1	0	28	2196	0	1
44	4	8	2	0	28	2196	2	0
44	5	9	2	0	28	2196	2	0
154	1	1	1	0	28	2196	0	1
165	1	1	1	0	28	2196	0	1
96	1	1	2	0	28	2196	0	1
155	1	1	1	0	28	2196	0	1
278	2	1	1	0	28	2196	0	1
166	1	1	1	0	28	2196	0	1
156	1	1	1	0	28	2196	0	1
97	1	2	3	0	28	2196	0	1
280	2	1	1	0	28	2196	0	1
167	1	1	1	0	28	2196	0	1
157	1	1	1	0	28	2196	0	1
168	1	1	1	0	28	2196	0	1
158	1	1	1	0	28	2196	0	1
98	1	3	1	0	28	2196	0	1
169	1	1	1	0	28	2196	0	1
288	2	1	1	0	28	2196	0	1
159	1	1	1	0	28	2196	0	1
290	2	1	1	0	28	2196	0	1
160	1	1	1	0	28	2196	0	1
170	1	1	1	0	28	2196	0	1
45	1	1	1	0	28	2196	2	0
171	1	1	1	0	28	2196	0	1
99	1	1	2	0	28	2196	0	1
45	2	3	1	0	28	2196	2	0
161	1	1	1	0	28	2196	0	1
172	1	1	1	0	28	2196	0	1
45	3	6	1	0	28	2196	2	0
45	4	7	1	0	28	2196	2	0
100	1	2	3	0	28	2196	0	1
162	1	1	1	0	28	2196	0	1
173	1	1	1	0	28	2196	0	1
45	5	10	1	0	28	2196	2	0
38	1	1	1	0	28	2196	0	1
298	2	1	1	0	28	2196	0	1
101	1	3	1	0	28	2196	0	1
163	1	1	1	0	28	2196	0	1
174	1	1	1	0	28	2196	0	1
38	2	5	1	0	28	2196	0	1
38	3	8	1	0	28	2196	0	1
164	1	1	1	0	28	2196	0	1
175	329	1	1	1	0	28	2196	0	1
321	1	1	1	0	28	2196	0	1
180	1	1	2	0	28	2196	0	1
330	1	1	1	0	28	2196	0	1
322	1	1	1	0	28	2196	0	1
331	1	1	1	0	28	2196	0	1
323	1	1	1	0	28	2196	0	1
181	1	2	3	0	28	2196	0	1
332	1	1	1	0	28	2196	0	1
324	1	1	1	0	28	2196	0	1
67	1	1	1	0	12	597	0	1
333	1	1	1	0	28	2196	0	1
325	1	1	1	0	28	2196	0	1
67	2	4	2	0	14	775	0	1
182	1	3	1	0	28	2196	0	1
67	3	6	1	0	14	775	0	1
334	1	1	1	0	28	2196	0	1
326	1	1	1	0	28	2196	0	1
51	1	2	2	0	28	2196	0	1
67	4	7	1	0	12	597	0	1
335	1	1	1	0	28	2196	0	1
51	2	4	2	0	28	2196	0	1
67	5	9	2	0	10	469	0	1
327	1	1	1	0	28	2196	0	1
183	1	1	2	0	28	2196	0	1
51	3	7	2	0	28	2196	0	1
336	1	1	1	0	28	2196	0	1
328	1	1	1	0	28	2196	0	1
51	4	11	2	0	28	2196	0	1
337	1	1	1	0	28	2196	0	1
329	1	1	1	0	28	2196	0	1
51	5	14	2	0	28	2196	0	1
184	1	2	3	0	28	2196	0	1
338	1	1	1	0	28	2196	0	1
51	6	17	2	0	28	2196	0	1
330	1	1	1	0	28	2196	0	1
339	1	1	1	0	28	2196	0	1
331	1	1	1	0	28	2196	0	1
185	1	3	1	0	28	2196	0	1
340	1	1	1	0	28	2196	0	1
332	1	1	1	0	28	2196	0	1
68	1	2	2	0	12	597	0	1
341	1	1	1	0	28	2196	0	1
333	1	1	1	0	28	2196	0	1
186	1	1	2	0	28	2196	0	1
68	2	3	1	0	8	421	0	1
334	1	1	1	0	28	2196	0	1
342	1	1	1	0	28	2196	0	1
68	3	5	2	0	8	421	0	1
68	4	8	2	0	8	421	0	1
343	1	1	1	0	28	2196	0	1
68	5	10	1	0	8	421	0	1
335	1	1	1	0	28	2196	0	1
187	1	2	3	0	28	2196	0	1
344	1	1	1	0	28	2196	0	1
336	1	1	1	0	28	2196	0	1
345	1	1	1	0	28	2196	0	1
188	1	3	1	0	28	2196	0	1
337	1	1	1	0	28	2196	0	1
346	1	1	1	0	28	2196	0	1
338	1	1	1	0	28	2196	0	1
347	1	1	1	0	28	2196	0	1
52	1	3	3	0	28	2196	0	1
189	1	1	2	0	28	2196	0	1
52	2	6	3	0	28	2196	0	1
339	1	1	1	0	28	2196	0	1
348	1	1	1	0	28	2196	0	1
52	3	9	3	0	28	2196	0	1
52	4	10	3	0	28	2196	0	1
349	1	1	1	0	28	2196	0	1
340	1	1	1	0	28	2196	0	1
69	1	1	1	0	12	597	0	1
52	5	15	3	0	28	2196	0	1
190	1	2	3	0	28	2196	0	1
69	2	4	2	0	14	775	0	1
341	1	1	1	0	28	2196	0	1
52	6	18	3	0	28	2196	0	1
350	1	1	1	0	28	2196	0	1
69	3	6	1	0	14	775	0	1
823	1	1	1	0	28	2196	0	1
823	2	2	1	0	28	2196	0	1
69	4	7	1	0	12	597	0	1
351	1	1	1	0	28	2196	0	1
191	1	3	1	0	28	2196	0	1
342	1	1	1	0	28	2196	0	1
69	5	9	2	0	10	469	0	1
824	1	1	1	0	28	2196	0	1
824	2	2	1	0	28	2196	0	1
352	1	1	1	0	28	2196	0	1
343	1	1	1	0	28	2196	0	1
353	1	1	1	0	28	2196	0	1
192	1	1	2	0	28	2196	0	1
344	1	1	1	0	28	2196	0	1
354	1	1	1	0	28	2196	0	1
345	1	1	1	0	28	2196	0	1
355	1	1	1	0	28	2196	0	1
193	1	2	3	0	28	2196	0	1
346	1	1	1	0	28	2196	0	1
356	1	1	1	0	28	2196	0	1
347	1	1	1	0	28	2196	0	1
357	1	1	1	0	28	2196	0	1
70	1	2	2	0	12	597	0	1
194	1	3	1	0	28	2196	0	1
70	2	3	1	0	8	421	0	1
348	1	1	1	0	28	2196	0	1
358	1	1	1	0	28	2196	0	1
70	3	5	2	0	8	421	0	1
349	1	1	1	0	28	2196	0	1
70	4	8	2	0	8	421	0	1
359	1	1	1	0	28	2196	0	1
70	5	10	1	0	8	421	0	1
195	1	1	2	0	28	2196	0	1
53	1	1	1	0	28	2196	0	1
350	1	1	1	0	28	2196	0	1
360	1	1	1	0	28	2196	0	1
53	2	5	1	0	28	2196	0	1
351	1	1	1	0	28	2196	0	1
53	3	8	1	0	28	2196	0	1
361	1	1	1	0	28	2196	0	1
53	4	12	1	0	28	2196	0	1
196	1	2	3	0	28	2196	0	1
352	1	1	1	0	28	2196	0	1
53	5	13	1	0	28	2196	0	1
362	1	1	1	0	28	2196	0	1
353	1	1	1	0	28	2196	0	1
53	6	16	1	0	28	2196	0	1
363	1	1	1	0	28	2196	0	1
197	1	3	1	0	28	2196	0	1
354	1	1	1	0	28	2196	0	1
364	1	1	1	0	28	2196	0	1
355	1	1	1	0	28	2196	0	1
71	1	1	1	0	12	597	0	1
71	2	4	2	0	14	775	0	1
365	1	1	1	0	28	2196	0	1
198	1	1	2	0	28	2196	0	1
356	1	1	1	0	28	2196	0	1
71	3	6	1	0	14	775	0	1
366	1	1	1	0	28	2196	0	1
357	1	1	1	0	28	2196	0	1
71	4	7	1	0	12	597	0	1
367	1	1	1	0	28	2196	0	1
71	5	9	2	0	10	469	0	1
199	1	2	3	0	28	2196	0	1
358	1	1	1	0	28	2196	0	1
368	1	1	1	0	28	2196	0	1
359	1	1	1	0	28	2196	0	1
369	1	1	1	0	28	2196	0	1
200	1	3	1	0	28	2196	0	1
360	1	1	1	0	28	2196	0	1
370	1	1	1	0	28	2196	0	1
371	1	1	1	0	28	2196	0	1
361	1	1	1	0	28	2196	0	1
201	1	1	2	0	28	2196	0	1
372	1	1	1	0	28	2196	0	1
362	1	1	1	0	28	2196	0	1
373	1	1	1	0	28	2196	0	1
54	1	2	2	0	28	2196	0	1
363	1	1	1	0	28	2196	0	1
54	2	4	2	0	28	2196	0	1
364	1	1	1	0	28	2196	0	1
202	1	2	3	0	28	2196	0	1
72	1	2	2	0	12	597	0	1
54	3	7	2	0	28	2196	0	1
374	1	1	1	0	28	2196	0	1
72	2	3	1	0	8	421	0	1
54	4	11	2	0	28	2196	0	1
72	3	5	2	0	8	421	0	1
365	1	1	1	0	28	2196	0	1
375	1	1	1	0	28	2196	0	1
72	4	8	2	0	8	421	0	1
54	5	14	2	0	28	2196	0	1
72	5	10	1	0	8	421	0	1
203	1	3	1	0	28	2196	0	1
54	6	17	2	0	28	2196	0	1
3
